brand,spinpotential,stringname,stringlink,materialcode
Kirschbaum,3.5,Touch Multifibre 17 (1.25),http://www.tennis-warehouse.com/descpage-TMULTI17.html,N
Klip,4.7,Hardcore 16/1.30,http://www.tennis-warehouse.com/descpage-KHC16.html,P
Klip,4.2,Synthetic Gut 16,http://www.tennis-warehouse.com/descpage-KSGUT16.html,N
Klip,4.1,K-Boom 16/1.30,http://www.tennis-warehouse.com/descpage-KBOOM16.html,P
Klip,3.7,Kicker 16,http://www.tennis-warehouse.com/descpage-KICK16.html,N
Klip,3.2,Scorcher 16/1.30,http://www.tennis-warehouse.com/descpage-KSCOR16.html,N
Klip,2.7,Excellerator 16/1.30,http://www.tennis-warehouse.com/descpage-KEXC16.html,N
Klip,2.3,Venom 16/1.30,http://www.tennis-warehouse.com/descpage-KVENOM16.html,N
Klip,1.4,Armour Pro 16/1.30,http://www.tennis-warehouse.com/descpage-KARM16.html,G
Klip,1.2,Legend 16 Uncoated,http://www.tennis-warehouse.com/descpage-KLIPLUC16.html,G
L-Tec,6.7,Premium 4S 16L (1.25),http://www.tennis-warehouse.com/descpage-LTP4S16L.html,P
L-Tec,4.3,Premium Pro OS 16L,http://www.tennis-warehouse.com/descpage-LTPPOS16.html,P
L-Tec,4.1,Premium OS 17 (1.23),http://www.tennis-warehouse.com/descpage-LTPOS17.html,P
L-Tec,4,Premium 3S 16L (1.25),http://www.tennis-warehouse.com/descpage-LTP3S16.html,P
L-Tec,4,Premium 5S 16L (1.25),http://www.tennis-warehouse.com/descpage-LTP5S16.html,P
Luxilon,6.9,Alu Power Soft 1.25,http://www.tennis-warehouse.com/descpage-ALUPRSFT16.html,P
Luxilon,6.7,4G Soft 1.25,http://www.tennis-warehouse.com/descpage-LUX4GS16.html,P
Luxilon,6.6,Element 1.30,http://www.tennis-warehouse.com/descpage-LE130.html,P
Luxilon,5.4,ALU Power Feel 18/1.20,http://www.tennis-warehouse.com/descpage-.html,P
Luxilon,4.8,Big Banger Original 130/16,http://www.tennis-warehouse.com/descpage-BB16.html,P
Luxilon,4.6,Big Banger ALU Power 125/16L,http://www.tennis-warehouse.com/descpage-ALUSTR.html,P
Luxilon,4.4,Big Banger Rough 130/16,http://www.tennis-warehouse.com/descpage-BBR16.html,P
Luxilon,4.4,Big Banger TiMO 17L (1.17),http://www.tennis-warehouse.com/descpage-TBS17L.html,P
Luxilon,4.3,Big Banger ALU Power Spin 127/16,http://www.tennis-warehouse.com/descpage-ALUPRSPIN.html,P
Luxilon,4.2,4G Rough 16L,http://www.tennis-warehouse.com/descpage-LUX4GR125.html,P
Luxilon,4.1,Big Banger XP 125/16L,http://www.tennis-warehouse.com/descpage-BBXP17.html,P
Luxilon,4,Big Banger Ace 18 (1.12),http://www.tennis-warehouse.com/descpage-BBACE18.html,P
Luxilon,3.9,4G 16L (1.25),http://www.tennis-warehouse.com/descpage-LUX4G125.html,P
Luxilon,3.9,Big Banger Timo 17 (1.22),http://www.tennis-warehouse.com/descpage-TBS17.html,P
Luxilon,3.6,Adrenaline 16,http://www.tennis-warehouse.com/descpage-LADR120.html,P
Luxilon,3.6,Big Banger Timo 18 (1.10),http://www.tennis-warehouse.com/descpage-TBS18.html,P
Luxilon,3.6,M2 Pro 125/16,http://www.tennis-warehouse.com/descpage-LM2PRO16L.html,P
Luxilon,3.5,Adrenaline 16L/1.25,http://www.tennis-warehouse.com/descpage-LADR125.html,P
Luxilon,3.4,Savage 16/1.27,http://www.tennis-warehouse.com/descpage-LUXSAV.html,P
Luxilon,3.3,Adrenaline Rough 16L/1.25,http://www.tennis-warehouse.com/descpage-LA125.html,P
Luxilon,3.2,Monotec Super Poly 1.25/16L,http://www.tennis-warehouse.com/descpage-LUXSP16L.html,P
Luxilon,3.2,Big Banger ALU Power Rough 125/16L,http://www.tennis-warehouse.com/descpage-ALUPR16.html,P
Luxilon,2.9,Adrenaline 17/1.20,http://www.tennis-warehouse.com/descpage-LADR130.html,P
Luxilon,2.1,Monotec Supersense 16L/1.25,http://www.tennis-warehouse.com/descpage-LXSS16L.html,P
Mantis,4.8,Comfort Poly 16,http://www.tennis-warehouse.com/descpage-MCP16.html,P
Mantis,4.8,Power Poly 17,http://www.tennis-warehouse.com/descpage-MPP17.html,P
Mantis,3.8,Comfort Synthetic 16,http://www.tennis-warehouse.com/descpage-MCS16.html,N
MSV,6.5,Focus Hex 17L (1.18),http://www.tennis-warehouse.com/descpage-MSVFH.html,P
MSV,6.3,Focus Hex Soft 17 (1.25),http://www.tennis-warehouse.com/descpage-FHS16RD.html,P
MSV,5.7,Hepta-Twist 17,http://www.tennis-warehouse.com/descpage-HEPTW17WH.html,P
MSV,4.9,Focus Evo 16,http://www.tennis-warehouse.com/descpage-FEVO16.html,P
MSV,4.5,Focus Evo 17,http://www.tennis-warehouse.com/descpage-FEVO17.html,P
MSV,4.2,Co.-Focus 16L,http://www.tennis-warehouse.com/descpage-MSVCF16.html,P
One Strings,5.1,Carbon NRG 16,http://www.tennis-warehouse.com/descpage-OSCNRG16.html,P
Pacific,5,ATP Poly Power Pro 16L,http://www.tennis-warehouse.com/descpage-PPPP16.html,P
Pacific,5,Poly Force Xtreme 16L,http://www.tennis-warehouse.com/descpage-PPFX16.html,P
Pacific,4.7,X Force 18,http://www.tennis-warehouse.com/descpage-PXF18.html,P
Pacific,4.5,Poly Force 16L,http://www.tennis-warehouse.com/descpage-PPFO16.html,P
Pacific,4.4,Poly Force 17,http://www.tennis-warehouse.com/descpage-PPFO17.html,P
Pacific,4.5,X Force 17,http://www.tennis-warehouse.com/descpage-PXF17.html,P
Pacific,4.4,Prime Natural Gut 16,http://www.tennis-warehouse.com/descpage-PNGP16.html,G
Pacific,3.5,Power Line 17,http://www.tennis-warehouse.com/descpage-PPLSG17.html,N
Pacific,3.4,Power Line 16L,http://www.tennis-warehouse.com/descpage-PPLSG16L.html,N
Pacific,3.3,Premium Power X 16L,http://www.tennis-warehouse.com/descpage-PPX16.html,N
Pacific,3.2,Power Twist 16L,http://www.tennis-warehouse.com/descpage-PPT16L.html,N
Pacific,2.8,Classic Natural Gut 16,http://www.tennis-warehouse.com/descpage-PNGC16.html,G
Pacific,2,PMX 16L,http://www.tennis-warehouse.com/descpage-PPMX16.html,N
Pacific,1.8,Tough Gut 16,http://www.tennis-warehouse.com/descpage-PTG16.html,G
Poly Star,5.3,Turbo 16 (1.30),http://www.tennis-warehouse.com/descpage-PT16S.html,P
Poly Star,5.1,Strike 16 (1.30),http://www.tennis-warehouse.com/descpage-PS16S.html,P
Poly Star,5,Turbo 16L (1.25),http://www.tennis-warehouse.com/descpage-PT16LS.html,P
Poly Star,4.8,Strike 16L (1.25),http://www.tennis-warehouse.com/descpage-PS16LS.html,P
Poly Star,4.4,Classic 16L (1.25),http://www.tennis-warehouse.com/descpage-PC16LS.html,P
Poly Star,4.2,Classic 16 (1.30),http://www.tennis-warehouse.com/descpage-PC16S.html,P
Poly Star,4,Classic 17 (1.20),http://www.tennis-warehouse.com/descpage-PC17S.html,P
Poly Star,4,Energy 16 (1.30),http://www.tennis-warehouse.com/descpage-PE16S.html,P
Poly Star,4,Energy 17 (1.20),http://www.tennis-warehouse.com/descpage-PE17S.html,P
Poly Star,3.7,Energy 16L (1.25),http://www.tennis-warehouse.com/descpage-PE16LS.html,P
Polyfibre,5.2,Hexablade 17L (1.18),http://www.tennis-warehouse.com/descpage-PFHB17S.html,P
Polyfibre,4.6,Hexablade 16L (1.25),http://www.tennis-warehouse.com/descpage-PFHB16S.html,P
Polyfibre,4.4,Hightec Premium 16L,http://www.tennis-warehouse.com/descpage-HTP16L.html,P
Polyfibre,4.4,Poly Hightec 16L,http://www.tennis-warehouse.com/descpage-PHT16L.html,P
Polyfibre,4.4,TCS 16/1.30,http://www.tennis-warehouse.com/descpage-TCS16.html,P
Polyfibre,4.3,Black Venom 16 (1.30),http://www.tennis-warehouse.com/descpage-PFBV16S.html,P
Polyfibre,4.3,TCS Rapid 16L/1.25,http://www.tennis-warehouse.com/descpage-TCSR16L.html,P
Polyfibre,4.2,Hightec Premium 16/1.30,http://www.tennis-warehouse.com/descpage-HTP160.html,P
Polyfibre,4.2,TCS 17,http://www.tennis-warehouse.com/descpage-TCS17.html,P
Polyfibre,4.1,Poly Hightec 16/1.30,http://www.tennis-warehouse.com/descpage-PHT16.html,P
Polyfibre,4,Poly Hightec 17,http://www.tennis-warehouse.com/descpage-PHT17.html,P
Polyfibre,3.9,Hightec Premium 17,http://www.tennis-warehouse.com/descpage-HTP17.html,P
Polyfibre,3.9,Poly Hightec 18,http://www.tennis-warehouse.com/descpage-PHT18.html,P
Polyfibre,3.9,Viper 17/1.20,http://www.tennis-warehouse.com/descpage-VIPER17.html,P
Polyfibre,3.8,TCS 16L,http://www.tennis-warehouse.com/descpage-TCS16L.html,P
Polyfibre,3.6,Cobra 17/1.20,http://www.tennis-warehouse.com/descpage-PFRAZ17.html,P
Prince,6.4,Tour XT 18,http://www.tennis-warehouse.com/descpage-PTXT18.html,P
Prince,5.9,Tour XC 17L,http://www.tennis-warehouse.com/descpage-PTXC17L.html,P
Prince,5.5,Tour XC 15L,http://www.tennis-warehouse.com/descpage-PTXC15L.html,P
Prince,5.5,Tour XC 16L,http://www.tennis-warehouse.com/descpage-PTXC16L.html,P
Prince,5.5,Tour XP 16,http://www.tennis-warehouse.com/descpage-PTXP16.html,P
Prince,5.5,Tour XS 16,http://www.tennis-warehouse.com/descpage-PTXS125.html,P
Prince,5.4,Premier Control 16,http://www.tennis-warehouse.com/descpage-PPC16.html,N
Prince,5.3,Topspin Plus 16,http://www.tennis-warehouse.com/descpage-T16.html,N
